# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
474.0; 14.179; 0.00070; 1000.0; -0.0; 12.6
477.0; 14.265; 0.00081; 1000.0; -0.0; 14.5
480.0; 14.351; 0.00093; 1000.0; -0.0; 16.7
483.0; 14.437; 0.00106; 1000.0; -0.0; 19.1
486.0; 14.522; 0.00122; 1000.0; -0.0; 21.9
489.0; 14.608; 0.00140; 1000.0; -0.0; 25.1
492.0; 14.694; 0.00160; 1000.0; -0.0; 28.8
495.0; 14.780; 0.00182; 1000.0; -0.0; 32.8
498.0; 14.865; 0.00207; 1000.0; -0.0; 37.4
501.0; 14.951; 0.00235; 1000.0; -0.0; 42.5
504.0; 15.036; 0.00266; 1000.0; -0.0; 48.0
507.0; 15.122; 0.00299; 1000.0; -0.0; 54.1
510.0; 15.207; 0.00334; 1000.0; -0.0; 60.6
513.0; 15.293; 0.00372; 1000.0; -0.0; 67.5
516.0; 15.378; 0.00411; 1000.0; -0.0; 74.7
519.0; 15.464; 0.00451; 1000.0; -0.0; 82.0
522.0; 15.549; 0.00490; 1000.0; -0.0; 89.3
525.0; 15.635; 0.00527; 1000.0; -0.0; 96.2
528.0; 15.720; 0.00559; 1000.0; -0.0; 102.4
531.0; 15.805; 0.00585; 1000.0; -0.0; 107.5
534.0; 15.891; 0.00602; 1000.0; -0.0; 110.9
537.0; 15.976; 0.00605; 1000.0; -0.0; 112.0
540.0; 16.061; 0.00591; 1000.0; -0.0; 110.0
543.0; 16.147; 0.00554; 1000.0; -0.0; 104.1
546.0; 16.232; 0.00490; 1000.0; -0.0; 93.1
549.0; 16.317; 0.00392; 1000.0; -0.0; 76.1
552.0; 16.402; 0.00253; 1000.0; -0.0; 51.7
555.0; 16.488; 0.00066; 1000.0; -0.0; 18.8
558.0; 16.573; -0.00175; 1000.0; -0.0; -24.1
561.0; 16.658; -0.00476; 1000.0; -0.0; -78.1
564.0; 16.744; -0.00845; 1000.0; -0.0; -144.0
567.0; 16.829; -0.01285; 999.9; -0.1; -222.3
570.0; 16.914; -0.01799; 29.8; -586.8; -313.2
573.0; 17.000; -0.02390; 5.0; -3079.1; -411.7
576.0; 17.086; -0.03057; 2.8; -5274.5; -513.8
579.0; 17.173; -0.03794; 0.0; -5817.6; -614.4
582.0; 17.263; -0.04682; 0.0; -5126.0; -717.9
585.0; 17.354; -0.05712; 0.0; -4355.7; -816.8
588.0; 17.448; -0.06736; 0.0; -3641.3; -894.4
591.0; 17.543; -0.07678; 0.0; -3060.2; -947.1
594.0; 17.639; -0.08511; 0.0; -2631.8; -979.3
597.0; 17.738; -0.09230; 0.0; -2339.3; -997.0
600.0; 17.838; -0.09837; 0.0; -2151.9; -1005.7
603.0; 17.939; -0.10341; 0.0; -2037.3; -1009.0
606.0; 18.042; -0.10752; 0.0; -1969.1; -1009.3
609.0; 18.146; -0.11087; 0.0; -1928.1; -1007.9
612.0; 18.251; -0.11364; 0.0; -1902.5; -1005.8
615.0; 18.358; -0.11603; 0.0; -1884.8; -1003.3
618.0; 18.466; -0.11826; 0.0; -1871.1; -1000.6
621.0; 18.576; -0.12052; 0.0; -1461.7; -1001.3
624.0; 18.686; -0.12276; 0.0; -0.1; -1012.5
627.0; 18.797; -0.12421; 0.0; -0.0; -1013.2
630.0; 18.908; -0.12507; 0.0; -0.0; -1013.1
633.0; 19.018; -0.12550; 591.8; -0.0; -1007.5
636.0; 19.128; -0.12567; 1000.0; -0.0; -1003.7
639.0; 19.237; -0.12570; 1000.0; -0.0; -1003.9
642.0; 19.345; -0.12564; 1000.0; -0.0; -1004.1
645.0; 19.454; -0.12549; 1000.0; -0.0; -1004.2
648.0; 19.562; -0.12531; 1000.0; -0.0; -1004.2
651.0; 19.670; -0.12511; 1000.0; -0.0; -1004.2
654.0; 19.779; -0.12490; 1000.0; -0.0; -1004.1
657.0; 19.887; -0.12468; 1000.0; -0.0; -1004.1
660.0; 19.995; -0.12447; 1000.0; -0.0; -1004.1
663.0; 20.103; -0.12425; 1000.0; -0.0; -1004.0
666.0; 20.212; -0.12402; 1000.0; -0.0; -1004.0
669.0; 20.320; -0.12379; 1000.0; -0.0; -1003.9
672.0; 20.429; -0.12354; 1000.0; -0.0; -1003.9
675.0; 20.538; -0.12323; 1000.0; -0.0; -1003.8
678.0; 20.646; -0.12288; 1000.0; -0.0; -1003.7
681.0; 20.755; -0.12251; 1000.0; -0.0; -1003.5
684.0; 20.864; -0.12212; 1000.0; -0.0; -1003.4
687.0; 20.972; -0.12172; 1000.0; -0.0; -1003.2
690.0; 21.081; -0.12131; 1000.0; -0.0; -1003.0
693.0; 21.189; -0.12088; 1000.0; -0.0; -1002.8
696.0; 21.298; -0.12045; 1000.0; -0.0; -1002.6
699.0; 21.406; -0.12000; 1000.0; -0.0; -1002.3
702.0; 21.515; -0.11953; 1000.0; -0.0; -1002.0
705.0; 21.624; -0.11905; 1000.0; -0.0; -1001.7
708.0; 21.733; -0.11855; 1000.0; -0.0; -1001.3
711.0; 21.842; -0.11803; 1000.0; -0.0; -1000.9
714.0; 21.952; -0.11749; 1000.0; -0.0; -1000.4
717.0; 22.062; -0.11692; 1000.0; -0.0; -999.9
720.0; 22.172; -0.11632; 1000.0; -0.0; -999.3
723.0; 22.283; -0.11569; 1000.0; -0.0; -998.7
726.0; 22.394; -0.11503; 1000.0; -0.0; -997.9
729.0; 22.507; -0.11432; 1000.0; 0.0; -997.1
732.0; 22.620; -0.11357; 1000.0; 0.0; -996.1
735.0; 22.734; -0.11277; 1000.0; 0.0; -995.0
738.0; 22.849; -0.11191; 1000.0; 0.0; -993.8
741.0; 22.964; -0.11100; 1000.0; 0.0; -992.3
744.0; 23.078; -0.11001; 1000.0; 0.0; -990.6
747.0; 23.193; -0.10895; 1000.0; 0.0; -988.6
750.0; 23.308; -0.10781; 1000.0; 0.0; -986.3
753.0; 23.422; -0.10656; 1000.0; 0.0; -983.6
756.0; 23.537; -0.10519; 1000.0; 0.0; -980.4
759.0; 23.652; -0.10368; 1000.0; 0.0; -976.5
762.0; 23.767; -0.10201; 1000.0; 0.0; -971.8
765.0; 23.882; -0.10014; 1000.0; 0.0; -966.1
768.0; 23.997; -0.09805; 1000.0; 0.0; -959.0
771.0; 24.112; -0.09571; 1000.0; 0.0; -950.2
774.0; 24.227; -0.09310; 1000.0; 0.0; -939.4
777.0; 24.342; -0.09023; 1000.0; 0.0; -926.2
780.0; 24.458; -0.08719; 1000.0; 0.0; -910.8
783.0; 24.573; -0.08420; 1000.0; 0.0; -894.1
786.0; 24.687; -0.08162; 1000.0; 0.0; -878.6
789.0; 24.802; -0.07949; 1000.0; 0.0; -865.2
792.0; 24.917; -0.07758; 1000.0; 0.0; -852.7
795.0; 25.031; -0.07578; 1000.0; 0.0; -840.4
798.0; 25.145; -0.07401; 1000.0; 0.0; -828.0
801.0; 25.259; -0.07225; 1000.0; 0.0; -815.2
804.0; 25.373; -0.07049; 1000.0; 0.0; -802.0
807.0; 25.486; -0.06872; 1000.0; 0.0; -788.4
810.0; 25.600; -0.06695; 1000.0; 0.0; -774.3
813.0; 25.713; -0.06518; 1000.0; 0.0; -759.7
816.0; 25.825; -0.06341; 1000.0; 0.0; -744.8
819.0; 25.938; -0.06164; 1000.0; 0.0; -729.5
822.0; 26.050; -0.05989; 1000.0; 0.0; -714.0
825.0; 26.162; -0.05815; 1000.0; 0.0; -698.2
828.0; 26.274; -0.05643; 1000.0; 0.0; -682.2
831.0; 26.385; -0.05473; 1000.0; 0.0; -666.1
834.0; 26.496; -0.05306; 1000.0; 0.0; -650.1
837.0; 26.606; -0.05143; 1000.0; 0.0; -634.0
840.0; 26.717; -0.04983; 1000.0; 0.0; -618.0
843.0; 26.827; -0.04828; 1000.0; 0.0; -602.2
